Destination,DestinationCode,Age,Departure,Duration,Run_Date,Start,End,Adults,Children,Essentials250,Essentials250_Note,Essentials100,Essentials100_Note,Premier250,Premier250_Note,Premier100,Premier100_Note,Premier0,Premier0_Note,Frequent250,Frequent250_Note,Frequent100,Frequent100_Note,Frequent0,Frequent0_Note
United States,100001,65,180,45,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,60,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,75,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,90,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,105,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,120,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,150,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,180,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,210,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,240,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,300,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,180,365,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,3,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,4,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,5,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,6,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,7,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,8,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,9,,,,1,0,,,,,,,,,,,,,,,,
United States,100001,65,365,10,,,,1,0,,,,,,,,,,,,,,,,
